IL Number,IL Description,Store Number,Store Description,LOGIS Supplier Class,Supplier Sub-classification,Supplier City,MIIN Code,MIIN Code Description,MIIN Name,MIIN Description,Spend Type,Cost Center Number,Spend Amount,ICN,ICN Description,Unit Of Issue,Unit Of Issue Description,Document Type,Document Date,Document Line Number,Payment Quantity,Payment Unit Price,Adjustment Amount,Cash Discount,Transport Amount,Handling Amount,Invoice Number,Pay Type,Pay Method,Invoice Reason Code,Payment Choice,BAS Payment Number,BAS Transaction Date,BAS Disbursement Number,BAS Disbursement Date,BAS Payment Action Date,BAS Payment Status,Order Number,Order Authorisation Date,Order Status,Order Quoted Price,Quotation Doc Number,Quotation Price,Quotation Expiry Date,Contract Number,Contract End Date,Contract Type,Contract Price,ITEM,ITEM Description,INFRASTRUCTURE,INFRASTRUCTURE Description,OBJECTIVE,OBJECTIVE Description,RESPONSIBILITY,RESPONSIBILITY Description,FUND,FUND Description,PROJECT,PROJECT Description,ASSET,ASSET Description,REGIONAL INDENTIFIER,REGIONAL INDENTIFIER Description,Segment8,Segment8 Description
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,INDIVIDUAL,CERES,110,SERVICE,21,CLEANING,SERVICE,004E,2358.86,DDDD00S0000618,CLEANING OFFICE,EA,EACH,PAYMENT,2016-04-08,1,2,1179.43,0,0,0,0,16/2016,FINAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334055,2016/04/08,625231,2016/04/08,2016/04/13,Disbursed,OR-074466,2015/06/01,PAID,1179.4375,QA-009246,1179.43,2015/06/27,,Invalid,,0.0,2233368,P/P:CLEANING SERVICES,95368,NON INFRA/STAND ALONE: CUR,30161368,SUB-DIRECTORATE: CAPE WINELANDS,32249368,STELLENBOSCH 3.1,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,-,STELLENBOSCH,110,SERVICE,16,VETERINARIAN,SERVICE,005A,5206.0,DDDD00S0000529,VETERINARIAN VETERINARY;DOMESTIC ANIMAL,EA,EACH,PAYMENT,2016-04-08,1,4,1301.5,0,0,0,0,749074-753168,PARTIAL,NORMAL,"PRICE INCREASE ""GENERAL""",INVOICE PRICE,1334045,2016/04/08,625206,2016/04/08,2016/04/13,Disbursed,OR-074337,2015/05/18,PAID,1200.0,QA-009029,1200.0,2015/05/30,,Invalid,,0.0,2510368,A&S/O/S:VETERINARY SERVICES,95368,NON INFRA/STAND ALONE: CUR,30083368,LIVESTOCK,32293368,ELSENBURG 5.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,-,STELLENBOSCH,110,SERVICE,16,VETERINARIAN,SERVICE,005A,15673.4,DDDD00S0000529,VETERINARIAN VETERINARY;DOMESTIC ANIMAL,EA,EACH,PAYMENT,2016-04-08,1,13,1205.6462,0,0,0,0,749075-753169,PARTIAL,NORMAL,"PRICE INCREASE ""GENERAL""",INVOICE PRICE,1334046,2016/04/08,625206,2016/04/08,2016/04/13,Disbursed,OR-074337,2015/05/18,PAID,1200.0,QA-009029,1200.0,2015/05/30,,Invalid,,0.0,2510368,A&S/O/S:VETERINARY SERVICES,95368,NON INFRA/STAND ALONE: CUR,30083368,LIVESTOCK,32293368,ELSENBURG 5.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,-,BLOEMFONTEIN,110,SERVICE,321,REGISTRATION FEE,SERVICE,005A,442.87,DDDD00S0016168,REGISTRATION FEE,EA,EACH,PAYMENT,2016-04-08,1,2,221.435,0,0,0,0,IN217609,PARTIAL,NORMAL,"PRICE INCREASE ""GENERAL""",INVOICE PRICE,1334074,2016/04/08,625212,2016/04/08,2016/04/13,Disbursed,OR-074563,2015/06/10,PAID,200.0,QA-009423,200.0,2015/06/25,,Invalid,,0.0,2124368,"O/P:PROF BOD,MEMB&SUBCR FEES",95368,NON INFRA/STAND ALONE: CUR,30083368,LIVESTOCK,32293368,ELSENBURG 5.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,-,BLOEMFONTEIN,110,SERVICE,321,REGISTRATION FEE,SERVICE,005A,727.32,DDDD00S0016168,REGISTRATION FEE,EA,EACH,PAYMENT,2016-04-08,1,4,181.83,0,0,0,0,IN217445,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334076,2016/04/08,625212,2016/04/08,2016/04/13,Disbursed,OR-074563,2015/06/10,PAID,200.0,QA-009423,200.0,2015/06/25,,Invalid,,0.0,2124368,"O/P:PROF BOD,MEMB&SUBCR FEES",95368,NON INFRA/STAND ALONE: CUR,30083368,LIVESTOCK,32293368,ELSENBURG 5.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,BEE,PTY LTD,IDUTYWA,110,SERVICE,21,CLEANING,SERVICE,004E,1297.92,DDDD00S0000618,CLEANING OFFICE,EA,EACH,PAYMENT,2016-04-08,1,1,1297.92,0,0,0,0,10,PARTIAL,NORMAL,"PRICE INCREASE ""GENERAL""",INVOICE PRICE,1334087,2016/04/08,625233,2016/04/08,2016/04/13,Disbursed,OR-074562,2015/06/10,AUTHORISED,1297.916666,QA-009422,1297.91,2015/06/25,,Invalid,,0.0,2233368,P/P:CLEANING SERVICES,95368,NON INFRA/STAND ALONE: CUR,30161368,SUB-DIRECTORATE: CAPE WINELANDS,32249368,STELLENBOSCH 3.1,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,TRUST,PRETORIA,110,SERVICE,92,FEES,SERVICE,007A,1380.0,999970S0216200,"FEES , DATA CHARGES",EA,EACH,PAYMENT,2016-04-08,1,1,1380.0,0,0,0,0,E12061,PARTIAL,NORMAL,,QUOTED PRICE,1334083,2016/04/08,625214,2016/04/08,2016/04/13,Disbursed,OR-074700,2015/06/30,PAID,1380.0,QA-009630,1380.0,2015/06/30,,Invalid,,0.0,2820368,SYSTEM ACCESS & INFO FEES,95368,NON INFRA/STAND ALONE: CUR,30086368,RESOURCE UTILISATION,32293368,ELSENBURG 5.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,CAPE TOWN,17,AGRICULTURAL EQUIPMENT AND ACCESSORIES,16,"CAGE,ANIMAL",MINOR ASSET,007F,4618.87,999970T0902546,"CAGE,ANIMAL CAGE UNIT",EA,EACH,PAYMENT,2016-04-08,1,4,1154.7175,0,0,0,0,IN442319,FINAL,NORMAL,"PRICE INCREASE ""GENERAL""",INVOICE PRICE,1334089,2016/04/08,625210,2016/04/08,2016/04/13,Disbursed,OR-076607,2016/03/10,PAID,1154.67,QA-012755,1154.67,2016/03/10,,Invalid,,0.0,2271368,CONS:MATERIALS AND SUPPLIES,95368,NON INFRA/STAND ALONE: CUR,30070368,ANIMAL HEALTH,32283368,BEAUFORT-WEST 4.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30008368,BEAUFORT WEST,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,CAPE TOWN,72,FURNITURE,76,MATTRESS,INVENTORY,007F,1409.35,999970T2262119,MATTRESS,EA,EACH,PAYMENT,2016-04-08,2,4,352.3375,0,0,0,0,IN442319,FINAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334089,2016/04/08,625210,2016/04/08,2016/04/13,Disbursed,OR-076607,2016/03/10,PAID,352.3625,QA-012755,352.36,2016/03/10,,Invalid,,0.0,2271368,CONS:MATERIALS AND SUPPLIES,95368,NON INFRA/STAND ALONE: CUR,30070368,ANIMAL HEALTH,32283368,BEAUFORT-WEST 4.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30008368,BEAUFORT WEST,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,CAPE TOWN,102,TOILETRIES,11,"BLADE,RAZOR",INVENTORY,007F,735.16,999970T8261719,"BLADE,RAZOR , SWANN MORTEM, NO 15",EA,EACH,PAYMENT,2016-04-08,3,2,367.58,0,0,0,0,IN442319,FINAL,NORMAL,"PRICE INCREASE ""GENERAL""",INVOICE PRICE,1334089,2016/04/08,625210,2016/04/08,2016/04/13,Disbursed,OR-076607,2016/03/10,PAID,367.56,QA-012755,367.56,2016/03/10,,Invalid,,0.0,2271368,CONS:MATERIALS AND SUPPLIES,95368,NON INFRA/STAND ALONE: CUR,30070368,ANIMAL HEALTH,32283368,BEAUFORT-WEST 4.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30008368,BEAUFORT WEST,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,CAPE TOWN,102,TOILETRIES,11,"BLADE,RAZOR",INVENTORY,007F,331.64,999970U2424137,"BLADE,RAZOR , MINORA, STANDARD, 5 PER PACKET",EA,EACH,PAYMENT,2016-04-08,4,100,3.3164,0,0,0,0,IN442319,FINAL,NORMAL,,QUOTED PRICE,1334089,2016/04/08,625210,2016/04/08,2016/04/13,Disbursed,OR-076607,2016/03/10,PAID,3.3164,QA-012755,3.31,2016/03/10,,Invalid,,0.0,2271368,CONS:MATERIALS AND SUPPLIES,95368,NON INFRA/STAND ALONE: CUR,30070368,ANIMAL HEALTH,32283368,BEAUFORT-WEST 4.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30008368,BEAUFORT WEST,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,CAPE TOWN,88,"BAR, BRASSIEST, SHAPES AND GLASS",57,"PLATE,METAL",INVENTORY,007F,165.81,999970U2805404,"PLATE,METAL , FLOOR, GALVANISED, SMALL",EA,EACH,PAYMENT,2016-04-08,5,1,165.81,0,0,0,0,IN442319,FINAL,NORMAL,,QUOTED PRICE,1334089,2016/04/08,625210,2016/04/08,2016/04/13,Disbursed,OR-076607,2016/03/10,PAID,165.81,QA-012755,165.81,2016/03/10,,Invalid,,0.0,2271368,CONS:MATERIALS AND SUPPLIES,95368,NON INFRA/STAND ALONE: CUR,30070368,ANIMAL HEALTH,32283368,BEAUFORT-WEST 4.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30008368,BEAUFORT WEST,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,CAPE TOWN,88,"BAR, BRASSIEST, SHAPES AND GLASS",57,"PLATE,METAL",INVENTORY,007F,221.09,999970U2805416,"PLATE,METAL , FLOOR, GALVANISED, LARGE",EA,EACH,PAYMENT,2016-04-08,6,1,221.09,0,0,0,0,IN442319,FINAL,NORMAL,,QUOTED PRICE,1334089,2016/04/08,625210,2016/04/08,2016/04/13,Disbursed,OR-076607,2016/03/10,PAID,221.09,QA-012755,221.09,2016/03/10,,Invalid,,0.0,2271368,CONS:MATERIALS AND SUPPLIES,95368,NON INFRA/STAND ALONE: CUR,30070368,ANIMAL HEALTH,32283368,BEAUFORT-WEST 4.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30008368,BEAUFORT WEST,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,CAPE TOWN,88,"BAR, BRASSIEST, SHAPES AND GLASS",57,"PLATE,METAL",INVENTORY,007F,269.45,999970U2805430,"PLATE,METAL , FLOOR, GALVANISED, XXLARGE",EA,EACH,PAYMENT,2016-04-08,7,1,269.45,0,0,0,0,IN442319,FINAL,NORMAL,,QUOTED PRICE,1334089,2016/04/08,625210,2016/04/08,2016/04/13,Disbursed,OR-076607,2016/03/10,PAID,269.45,QA-012755,269.45,2016/03/10,,Invalid,,0.0,2271368,CONS:MATERIALS AND SUPPLIES,95368,NON INFRA/STAND ALONE: CUR,30070368,ANIMAL HEALTH,32283368,BEAUFORT-WEST 4.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30008368,BEAUFORT WEST,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,CAPE TOWN,88,"BAR, BRASSIEST, SHAPES AND GLASS",57,"PLATE,METAL",INVENTORY,007F,193.46,999970U2805796,"PLATE,METAL , FLOOR, GALVANISED, MEDIUM",EA,EACH,PAYMENT,2016-04-08,8,1,193.46,0,0,0,0,IN442319,FINAL,NORMAL,,QUOTED PRICE,1334089,2016/04/08,625210,2016/04/08,2016/04/13,Disbursed,OR-076607,2016/03/10,PAID,193.46,QA-012755,193.46,2016/03/10,,Invalid,,0.0,2271368,CONS:MATERIALS AND SUPPLIES,95368,NON INFRA/STAND ALONE: CUR,30070368,ANIMAL HEALTH,32283368,BEAUFORT-WEST 4.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30008368,BEAUFORT WEST,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,CAPE TOWN,61,MEDICAL EQUIPMENT,1178,"NEEDLE,STERILE",INVENTORY,007F,1168.5,999970T2601159,"NEEDLE,STERILE JELCO, PINK, 20G",EA,EACH,PAYMENT,2016-04-08,9,100,11.685,0,0,0,0,IN442319,FINAL,NORMAL,,QUOTED PRICE,1334089,2016/04/08,625210,2016/04/08,2016/04/13,Disbursed,OR-076607,2016/03/10,PAID,11.685,QA-012755,11.68,2016/03/10,,Invalid,,0.0,2277368,CONS: LABORATORIES CONS,95368,NON INFRA/STAND ALONE: CUR,30070368,ANIMAL HEALTH,32283368,BEAUFORT-WEST 4.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30008368,BEAUFORT WEST,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,CAPE TOWN,61,MEDICAL EQUIPMENT,1178,"NEEDLE,STERILE",INVENTORY,007F,1168.5,999970T2601247,"NEEDLE,STERILE JELCO, YELLOW, 24G",EA,EACH,PAYMENT,2016-04-08,10,100,11.685,0,0,0,0,IN442319,FINAL,NORMAL,,QUOTED PRICE,1334089,2016/04/08,625210,2016/04/08,2016/04/13,Disbursed,OR-076607,2016/03/10,PAID,11.685,QA-012755,11.68,2016/03/10,,Invalid,,0.0,2277368,CONS: LABORATORIES CONS,95368,NON INFRA/STAND ALONE: CUR,30070368,ANIMAL HEALTH,32283368,BEAUFORT-WEST 4.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30008368,BEAUFORT WEST,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,CAPE TOWN,61,MEDICAL EQUIPMENT,1178,"NEEDLE,STERILE",INVENTORY,007F,1168.5,999970T2651014,"NEEDLE,STERILE JELCO, BLUE, 22G",EA,EACH,PAYMENT,2016-04-08,11,100,11.685,0,0,0,0,IN442319,FINAL,NORMAL,,QUOTED PRICE,1334089,2016/04/08,625210,2016/04/08,2016/04/13,Disbursed,OR-076607,2016/03/10,PAID,11.685,QA-012755,11.68,2016/03/10,,Invalid,,0.0,2277368,CONS: LABORATORIES CONS,95368,NON INFRA/STAND ALONE: CUR,30070368,ANIMAL HEALTH,32283368,BEAUFORT-WEST 4.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30008368,BEAUFORT WEST,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,CAPE TOWN,61,MEDICAL EQUIPMENT,966,"SYRINGE,MEDICAL",INVENTORY,007F,6669.0,999970T2828073,"SYRINGE,MEDICAL 50ML",EA,EACH,PAYMENT,2016-04-08,12,1000,6.669,0,0,0,0,IN442319,FINAL,NORMAL,,QUOTED PRICE,1334089,2016/04/08,625210,2016/04/08,2016/04/13,Disbursed,OR-076607,2016/03/10,PAID,6.669,QA-012755,6.66,2016/03/10,,Invalid,,0.0,2277368,CONS: LABORATORIES CONS,95368,NON INFRA/STAND ALONE: CUR,30070368,ANIMAL HEALTH,32283368,BEAUFORT-WEST 4.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30008368,BEAUFORT WEST,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,CAPE TOWN,61,MEDICAL EQUIPMENT,966,"SYRINGE,MEDICAL",INVENTORY,007F,2850.0,999970U2759506,"SYRINGE,MEDICAL , VETERINARY, KRUUSE, 20ML",EA,EACH,PAYMENT,2016-04-08,13,1000,2.85,0,0,0,0,IN442319,FINAL,NORMAL,,QUOTED PRICE,1334089,2016/04/08,625210,2016/04/08,2016/04/13,Disbursed,OR-076607,2016/03/10,PAID,2.85,QA-012755,2.85,2016/03/10,,Invalid,,0.0,2277368,CONS: LABORATORIES CONS,95368,NON INFRA/STAND ALONE: CUR,30070368,ANIMAL HEALTH,32283368,BEAUFORT-WEST 4.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30008368,BEAUFORT WEST,0,
