IL Number,IL Description,Store Number,Store Description,LOGIS Supplier Class,Supplier Subunknownclassification,Supplier City,MIIN Code,MIIN Code Description,MIIN Name,MIIN Description,Spend Type,Cost Center Number,Spend Amount,ICN,ICN Description,Unit Of Issue,Unit Of Issue Description,Document Type,Document Date,Document Line Number,Payment Quantity,Payment Unit Price,Adjustment Amount,Cash Discount,Transport Amount,Handling Amount,Invoice Number,Pay Type,Pay Method,Invoice Reason Code,Payment Choice,BAS Payment Number,BAS Transaction Date,BAS Disbursement Number,BAS Disbursement Date,BAS Payment Action Date,BAS Payment Status,Order Number,Order Authorisation Date,Order Status,Order Quoted Price,Quotation Doc Number,Quotation Price,Quotation Expiry Date,Contract Number,Contract End Date,Contract Type,Contract Price,ITEM,ITEM Description,INFRASTRUCTURE,INFRASTRUCTURE Description,OBJECTIVE,OBJECTIVE Description,RESPONSIBILITY,RESPONSIBILITY Description,FUND,FUND Description,PROJECT,PROJECT Description,ASSET,ASSET Description,REGIONAL INDENTIFIER,REGIONAL INDENTIFIER Description,Segment8,Segment8 Description
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,unknown,BELLVILLE,00110,SERVICE,18,ELECTRICAL,SERVICE,002O,17382.96,DDDD00S0015343,ELECTRICAL SERVICE;MUNICIPAL ELECTRICITY,EA,EACH,PAYMENT,2016-04-13,1,1,17382.96,0.0,0.0,0,0,693791578226,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334151.0,2016/04/13,625273.0,2016/04/15,2016/04/20,Disbursed,ORunknown076693,2016/04/12,PAID,25000.0,QAunknown012855,25000.0,2016/04/30,,Invalid,,0.0,3387368,P/P:ELECTRICITY,95368,NON INFRA/STAND ALONE: CUR,30022368,FACILITIES MANAGEMENT & PLANNING,32195368,ELSENBURG 1.3,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,PRIVATE COMPANY (PTY)(LTD),SOMERSET WEST,00110,SERVICE,223,INSTALL SECURITY SYSTEM,SERVICE,013K,295000.0,999995S0049890,"INSTALL SECURITY SYSTEM ,SUPPLY,MAINTENANCE,ELECTRONIC AND FENCES",EA,EACH,PAYMENT,2016-04-13,1,1,295000.0,0.0,0.0,0,0,VSB7499,FINAL,NORMAL,Unknown,QUOTED PRICE,1334149.0,2016/04/13,625318.0,2016/04/15,2016/04/20,Disbursed,ORunknown076729,2016/04/13,PAID,295000.0,,0.0,Unknown,825unknown2015/16,2017/03/30,NONunknownCONTRACT,0.0,2197368,OUTS P/P:CONTRACTD MAINT,30368,EX INFRA:MAINT&REP: OUTSOURCED,30018368,OCCUPATIONAL HEALTH AND SAFETY,32195368,ELSENBURG 1.3,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,PRIVATE COMPANY (PTY)(LTD),CAPE TOWN,00110,SERVICE,606,TEST WATER,SERVICE,003O,28727.2,DDDD00S0001661,TEST WATER,EA,EACH,PAYMENT,2016-04-13,2,5,5745.44,0.0,0.0,0,0,IN025092,PARTIAL,NORMAL,Unknown,QUOTED PRICE,1334129.0,2016/04/13,625282.0,2016/04/15,2016/04/20,Disbursed,ORunknown076147,2016/01/27,PAID,5745.44,QAunknown012068,5745.44,2016/02/26,,Invalid,,0.0,2605368,LAB SER:WATER LAB SERV,95368,NON INFRA/STAND ALONE: CUR,30020368,FACILITY MAINTENANCE,32195368,ELSENBURG 1.3,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,PTY LTD,CAPE TOWN,00018,AGRICULTURAL SUPPLIES,29,"FEED,ANIMAL",INVENTORY,005A,28143.0,999970T3050085,"FEED,ANIMAL , CANOLA OIL CAKE, 50 KG",EA,EACH,PAYMENT,2016-04-13,1,100,281.43,0.0,0.0,0,0,748,FINAL,NORMAL,Unknown,QUOTED PRICE,1334125.0,2016/04/13,625309.0,2016/04/15,2016/04/20,Disbursed,ORunknown076266,2016/02/10,PAID,281.43,QAunknown012243,281.43,2016/03/02,,Invalid,,0.0,4892368,CONS SUPP:ANML FOOD& MED SUP,95368,NON INFRA/STAND ALONE: CUR,30083368,LIVESTOCK,32293368,ELSENBURG 5.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,PTY LTD,CAPE TOWN,00040,GENERAL HARDWARE,17,"BLOCK,DIGESTOR",MAJOR ASSET,001G,69745.2,999970U2795299,"BLOCK,DIGESTOR , VELP, MODEL DK20",EA,EACH,PAYMENT,2016-04-13,1,1,69745.2,0.0,0.0,0,0,IN0110419,FINAL,NORMAL,Unknown,QUOTED PRICE,1334119.0,2016/04/13,625290.0,2016/04/15,2016/04/20,Disbursed,ORunknown076433,2016/02/23,PAID,69745.2,QAunknown012511,69745.2,2016/03/02,,Invalid,,0.0,3280368,LAB EQUIPM:AGRICULTURE,98368,NON INFRA/STAND ALONE: CAP,30075368,PROVINCIAL VETERINARY LABORATORY,32273368,STELLENBOSCH 4.4,341368,VOTED FUNDS,4368,NO PROJECTS,30073368,LAB EQUIPM: AGRICULTURE,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,PRIVATE COMPANY (PTY)(LTD),CITY OF JOHANNESBURG NU,00110,SERVICE,78,TRAINING,SERVICE,001G,14998.0,DDDD00S0011966,TRAINING,EA,EACH,PAYMENT,2016-04-13,1,2,7499.0,0.0,0.0,0,0,HCS/CPT4/1/2016,FINAL,NORMAL,Unknown,QUOTED PRICE,1334147.0,2016/04/13,625305.0,2016/04/15,2016/04/20,Disbursed,ORunknown076672,2016/04/11,PAID,7499.0,QAunknown012824,7499.0,2016/04/30,,Invalid,,0.0,2153368,TRAIN & DEV:EMPLOYEES,95368,NON INFRA/STAND ALONE: CUR,30075368,PROVINCIAL VETERINARY LABORATORY,32273368,STELLENBOSCH 4.4,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,PTY LTD,PAARL,00111,HIRE,29,HIRE OF PHOTOCOPYING MACHINE,LEASE,002O,239270.0,HHHH00H0000036,HIRE OF PHOTOCOPYING MACHINE,EA,EACH,PAYMENT,2016-04-13,1,1,239270.0,0.0,0.0,0,0,902182482,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334133.0,2016/04/13,625323.0,2016/04/15,2016/04/20,Disbursed,ORunknown076668,2016/04/08,PAID,300000.0,,0.0,Unknown,,Invalid,,0.0,3857368,DISALLOWANCE MISCELLANEOUS:CA,13368,ASSETS,56368,ASSETS,32199368,CASHFLOW MANAGEMENT G/B,23368,POSTING: ASSETS&LIABILITIES FUND,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,2368,NON PAY:NO REGIONAL IDENTIFIER,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,unknown,BELLVILLE,00110,SERVICE,18,ELECTRICAL,SERVICE,002O,25010.3,DDDD00S0015343,ELECTRICAL SERVICE;MUNICIPAL ELECTRICITY,EA,EACH,PAYMENT,2016-04-14,1,1,25010.3,0.0,0.0,0,0,549436740680,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334160.0,2016/04/14,625273.0,2016/04/15,2016/04/20,Disbursed,ORunknown076691,2016/04/12,PAID,32000.0,QAunknown012838,32000.0,2016/05/11,,Invalid,,0.0,3387368,P/P:ELECTRICITY,95368,NON INFRA/STAND ALONE: CUR,30022368,FACILITIES MANAGEMENT & PLANNING,32195368,ELSENBURG 1.3,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30001368,CITY OF CAPE TOWN,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,unknown,CAPE TOWN,00112,CONSULTANTS,14,RESEARCH,SERVICE,002A,289401.49,DDDD00S0000327,RESEARCH,EA,EACH,PAYMENT,2016-04-15,1,1,289401.49,0.0,0.0,0,0,6219503,FINAL,NORMAL,"PRICE INCREASE ""GENERAL""",INVOICE PRICE,1334204.0,2016/04/15,625303.0,2016/04/15,2016/04/20,Disbursed,ORunknown072312,2014/08/21,PAID,241167.9167,,0.0,Unknown,,Invalid,,0.0,2648368,CNS:BUS&ADV SER:RESE&ADVISOR,95368,NON INFRA/STAND ALONE: CUR,30077368,CHIEF DIR: RES & TECH DEV SER,32293368,ELSENBURG 5.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,unknown,WELLINGTON,00110,SERVICE,16,VETERINARIAN,SERVICE,006M,19781.99,DDDD00S0000517,VETERINARIAN LIVE STOCK,EA,EACH,PAYMENT,2016-04-15,1,4,4945.4975,0.0,0.0,0,0,1953934unknown1969475,PARTIAL,NORMAL,"PRICE INCREASE ""GENERAL""",INVOICE PRICE,1334203.0,2016/04/15,625275.0,2016/04/15,2016/04/20,Disbursed,ORunknown076736,2016/04/13,AUTHORISED,4166.6667,QAunknown012892,4166.66,2016/04/24,,Invalid,,0.0,2510368,A&S/O/S:VETERINARY SERVICES,95368,NON INFRA/STAND ALONE: CUR,30140368,FACULTY ANIMAL PRODUCTION,32310368,ELSENBURG 7.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,PTY LTD,BELLVILLE,00018,AGRICULTURAL SUPPLIES,29,"FEED,ANIMAL",INVENTORY,005A,44000.0,999970T0906608,"FEED,ANIMAL FEED,ANIMAL LUCERNE BALE",KG,KILOGRAM,PAYMENT,2016-04-15,1,11000,4.0,0.0,0.0,0,0,001042016,FINAL,NORMAL,Unknown,QUOTED PRICE,1334181.0,2016/04/15,625295.0,2016/04/15,2016/04/20,Disbursed,ORunknown076424,2016/02/22,PAID,4.0,QAunknown012494,4.0,2016/03/10,,Invalid,,0.0,4892368,CONS SUPP:ANML FOOD& MED SUP,95368,NON INFRA/STAND ALONE: CUR,30083368,LIVESTOCK,32293368,ELSENBURG 5.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,BEE,PTY LTD,CAPE TOWN,00110,SERVICE,11,APPOINTMENT,SERVICE,006K,22500.0,999958S0026928,APPOINTMENT SERIVCE PROVIDER TO RENDER SERVICE,EA,EACH,PAYMENT,2016-04-15,1,1,22500.0,0.0,0.0,0,0,04unknown04unknown16,PARTIAL,NORMAL,"PRICE INCREASE ""GENERAL""",INVOICE PRICE,1334182.0,2016/04/15,625316.0,2016/04/15,2016/04/20,Disbursed,ORunknown074695,2015/06/29,PAID,20458.3334,QAunknown009610,20458.33,2015/07/20,,Invalid,,0.0,2648368,CNS:BUS&ADV SER:RESE&ADVISOR,95368,NON INFRA/STAND ALONE: CUR,30006368,DIR: BUSINESS PLANNING & STRAT,32194368,ELSENBURG 1.2,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,INDIVIDUAL,STELLENBOSCH,00110,SERVICE,527,FACILITATION,SERVICE,008M,25610.0,DDDD00S0009074,FACILITATION OF WORKSHOP,EA,EACH,PAYMENT,2016-04-15,1,1,25610.0,0.0,0.0,0,0,3,PARTIAL,NORMAL,"PRICE INCREASE ""GENERAL""",INVOICE PRICE,1334207.0,2016/04/15,625322.0,2016/04/15,2016/04/20,Disbursed,ORunknown076620,2016/03/10,PAID,260.0,QAunknown012770,260.0,2016/03/27,,Invalid,,0.0,2500368,A&S/O/S:PROFESSIONAL STAFF,95368,NON INFRA/STAND ALONE: CUR,30133368,FACULTY BUSINESS SCIENCES,32310368,ELSENBURG 7.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,unknown,BELLVILLE,00110,SERVICE,18,ELECTRICAL,SERVICE,002O,43772.89,DDDD00S0015343,ELECTRICAL SERVICE;MUNICIPAL ELECTRICITY,EA,EACH,PAYMENT,2016-04-19,1,1,43772.89,0.0,0.0,0,0,808499108868,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334223.0,2016/04/19,625358.0,2016/04/22,2016/04/28,Disbursed,ORunknown076689,2016/04/12,PAID,56807.0,,0.0,Unknown,,Invalid,,0.0,3387368,P/P:ELECTRICITY,95368,NON INFRA/STAND ALONE: CUR,30022368,FACILITIES MANAGEMENT & PLANNING,32195368,ELSENBURG 1.3,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30001368,CITY OF CAPE TOWN,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,unknown,BELLVILLE,00110,SERVICE,18,ELECTRICAL,SERVICE,002O,16809.72,DDDD00S0015343,ELECTRICAL SERVICE;MUNICIPAL ELECTRICITY,EA,EACH,PAYMENT,2016-04-19,1,1,16809.72,0.0,0.0,0,0,817849269785,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334229.0,2016/04/19,625358.0,2016/04/22,2016/04/28,Disbursed,ORunknown076714,2016/04/12,PAID,23100.0,QAunknown012870,23100.0,2016/04/20,,Invalid,,0.0,3387368,P/P:ELECTRICITY,95368,NON INFRA/STAND ALONE: CUR,30022368,FACILITIES MANAGEMENT & PLANNING,32195368,ELSENBURG 1.3,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,PRIVATE COMPANY (PTY)(LTD),CITY OF CAPE TOWN NU,00071,COMPUTER SOFTWARE AND HARDWARE ACCESSORIES,11,COMPUTER (CPU),MAJOR ASSET,003A,43434.0,999970U2438947,"COMPUTER (CPU) , MECER, Z611unknownES, CORE I7unknown4790, 4GB, 240 PIN DDR3, 500GB HDD, 3.6GHZ/4.0GHZ, WINDOWS 8.1, 64 BIT PRO",EA,EACH,PAYMENT,2016-04-19,1,3,14478.0,0.0,0.0,0,0,DRA0010,FINAL,NORMAL,Unknown,QUOTED PRICE,1334225.0,2016/04/19,625389.0,2016/04/22,2016/04/28,Disbursed,ORunknown076676,2016/04/11,PAID,14478.0,QAunknown012827,14478.0,2016/05/10,,Invalid,,0.0,3214368,COMP HARD&SYS unknown DESKTOP,98368,NON INFRA/STAND ALONE: CAP,30084368,PLANT SCIENCE,32293368,ELSENBURG 5.1,341368,VOTED FUNDS,4368,NO PROJECTS,30047368,COMP HARD&SYSTEMS DESKTOP,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,INDIVIDUAL,RAWSONVILLE,00110,SERVICE,682,PRESENTATION,SERVICE,004M,25379.44,DDDD00S0017095,PRESENTATION,EA,EACH,PAYMENT,2016-04-19,1,2,12689.72,0.0,0.0,0,0,AKB 2 2016,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334227.0,2016/04/19,625384.0,2016/04/22,2016/04/28,Disbursed,ORunknown076629,2016/03/11,PAID,12801.03333,QAunknown012780,12801.03,2016/04/10,,Invalid,,0.0,2500368,A&S/O/S:PROFESSIONAL STAFF,95368,NON INFRA/STAND ALONE: CUR,30137368,FACULTY VEG & AGRONOMY,32310368,ELSENBURG 7.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,unknown,BELLVILLE,00110,SERVICE,18,ELECTRICAL,SERVICE,002O,17979.4,DDDD00S0015343,ELECTRICAL SERVICE;MUNICIPAL ELECTRICITY,EA,EACH,PAYMENT,2016-04-20,1,1,17979.4,0.0,0.0,0,0,854246828768,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334247.0,2016/04/20,625358.0,2016/04/22,2016/04/28,Disbursed,ORunknown076710,2016/04/12,PAID,21500.0,QAunknown012860,21500.0,2016/05/11,,Invalid,,0.0,3387368,P/P:ELECTRICITY,95368,NON INFRA/STAND ALONE: CUR,30022368,FACILITIES MANAGEMENT & PLANNING,32195368,ELSENBURG 1.3,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30012368,OUDTSHOORN,0,
